district,population,output,input,spearman_rho,p_value,abs_rho,expected_sign,sign_matches,distinguishable_from_zero,sign_consistent,rank
Comilla,child,HI,ET_h_per_day,0.01188937799889378,0.23450610233112368,0.01188937799889378,1,True,False,True,5.0
Comilla,child,HI,SA_m2,0.00613863896538639,0.5393521620892494,0.00613863896538639,1,True,False,True,6.0
Comilla,child,ELCR,C_mg_per_L,0.9499531847595318,0.0,0.9499531847595318,1,True,True,True,1.0
Comilla,child,ELCR,IR_L_per_day,0.22492646122126464,6.859642868806457e-115,0.22492646122126464,1,True,True,True,2.0
Comilla,child,ELCR,BW_kg,-0.15165870642458704,1.58999796280622e-52,0.15165870642458704,-1,True,True,True,3.0
Comilla,child,ELCR,EF_days_per_year,0.05443514762835147,5.1263085348004325e-08,0.05443514762835147,1,True,True,True,4.0
Comilla,child,ELCR,ET_h_per_day,0.011769261909692618,0.2392674297331371,0.011769261909692618,0,True,False,True,5.0
Comilla,child,ELCR,SA_m2,0.005986575359865754,0.5494476183059732,0.005986575359865754,0,True,False,True,6.0
Bogra,adult,HI,C_mg_per_L,0.9810987385629873,0.0,0.9810987385629873,1,True,True,True,1.0
Bogra,adult,HI,IR_L_per_day,0.17736637278966372,1.8033764023850885e-71,0.17736637278966372,1,True,True,True,2.0
Bogra,adult,HI,BW_kg,-0.05858855421388554,4.5414129679154285e-09,0.05858855421388554,-1,True,True,True,4.0
Bogra,adult,HI,EF_days_per_year,0.0625597198815972,3.817242660237548e-10,0.0625597198815972,1,True,True,True,3.0
Bogra,adult,HI,ET_h_per_day,-0.002666130674661307,0.7897923924760588,0.002666130674661307,1,False,False,True,6.0
Bogra,adult,HI,SA_m2,0.02140233625002336,0.03233770232957068,0.02140233625002336,1,True,False,True,5.0
Bogra,adult,ELCR,C_mg_per_L,0.981001094082011,0.0,0.981001094082011,1,True,True,True,1.0
Bogra,adult,ELCR,IR_L_per_day,0.1778644419746444,7.215105531334955e-72,0.1778644419746444,1,True,True,True,2.0
Bogra,adult,ELCR,BW_kg,-0.05857687373776874,4.573561790715377e-09,0.05857687373776874,-1,True,True,True,4.0
Bogra,adult,ELCR,EF_days_per_year,0.0625546490775465,3.8297123119130223e-10,0.0625546490775465,1,True,True,True,3.0
Bogra,adult,ELCR,ET_h_per_day,-0.0028741003127410033,0.7738254337785058,0.0028741003127410033,0,True,False,True,6.0
