scenario,district,population,mean_HI,P50_HI,P95_HI,P_HI_gt_1,P_HI_gt_2,P95_ELCR,ratio_mean_HI,ratio_P50_HI,ratio_P95_HI,ratio_P_HI_gt_1,ratio_P_HI_gt_2,ratio_P95_ELCR,primary_mean_HI,primary_P50_HI,primary_P95_HI,primary_P_HI_gt_1,primary_P_HI_gt_2,primary_P95_ELCR
S6_ir_sa_log_space,Barisal,adult,22.115927531526385,1.1645817231864042,109.08658466348308,0.5148,0.4547,0.04899856230548585,3.457010193466459,3.0674768460398076,3.402694011109327,1.2495145631067963,1.3456643977508138,3.403758704731541,6.397414613738818,0.3796546091912346,32.05888754831625,0.412,0.3379,0.014395427689211133
S6_ir_sa_log_space,Barisal,child,127.35008424087995,5.931051017306448,605.1801160953687,0.6391,0.5919,0.023334484906363896,3.4999315130847903,3.113800895885032,3.4557044933853933,1.1449301325689716,1.1950333131435493,3.4591008141941773,36.38645035332002,1.9047624480885996,175.12496142356832,0.5582,0.4953,0.006745823888859346
S6_ir_sa_log_space,Sylhet,adult,5.135876963682416,1.1579574635763872,22.753057934909346,0.5226,0.4044,0.01022083553372027,3.481617197497438,3.1112701535197664,3.444705881107719,1.5918367346938775,1.9659698590179873,3.4480059729286014,1.475141197996738,0.3721815870815316,6.605225154256889,0.3283,0.2057,0.0029642743121581928
S6_ir_sa_log_space,Sylhet,child,28.570199036893598,6.286776307797487,123.77674112666571,0.7267,0.6533,0.004772284050583555,3.4814845609912526,3.0822208562688727,3.457961631122822,1.2121768140116764,1.2975173783515392,3.45935143375956,8.206326507091864,2.0396904053812133,35.79471212538429,0.5995,0.5035,0.0013795314358671918
S6_ir_sa_log_space,Rangpur,adult,1.2734293573572588,0.0965947611706065,6.360143355505272,0.2346,0.1543,0.002858520544780685,3.4945088056261158,3.100157374201386,3.453511775412999,2.3483483483483485,3.4988662131519273,3.455993032298544,0.36440868465034437,0.031158018613648517,1.8416451916526837,0.0999,0.0441,0.0008271198807595723
S6_ir_sa_log_space,Rangpur,child,7.032779732224805,0.5394257863222187,32.78878428481701,0.4331,0.3536,0.0012645406476989656,3.5148376235653465,3.0377088261841547,3.4090005347926677,1.4475267379679142,1.6910569105691058,3.411129827404026,2.0008832513551402,0.17757652796493445,9.618298369322842,0.2992,0.2091,0.0003707102079610144
S6_ir_sa_log_space,Mymensingh,adult,4.7588059660144015,0.035084171281876825,23.988268034556878,0.2828,0.2277,0.010725874386361241,3.4773143481775417,3.076761803178789,3.3357311686115545,1.47985347985348,1.6488052136133238,3.3235043022922928,1.3685291260792942,0.011402953340628852,7.1913073392366975,0.1911,0.1381,0.003227278622435775
S6_ir_sa_log_space,Mymensingh,child,26.202576031830308,0.1813093582388129,130.96054212251101,0.3964,0.3509,0.005050312238763661,3.489100756751298,3.155962246979913,3.454682294869215,1.2379762648344785,1.313248502994012,3.4571625499813625,7.509836447436825,0.0574497868003067,37.908129010013305,0.3202,0.2672,0.0014608257973842992
S6_ir_sa_log_space,Comilla,adult,41.992002037610355,12.795706867430837,178.7763871575259,0.8264,0.7677,0.08029289131399968,3.4712309492914986,3.1369179141560237,3.482313246024708,1.1431733296444875,1.2275343779980814,3.4858593245173872,12.097150161149953,4.079069716707418,51.33839908331366,0.7229,0.6254,0.023033887440399255
S6_ir_sa_log_space,Comilla,child,217.94205798184097,63.789435632939615,908.3739477268923,0.9088,0.8767,0.035027098725319034,3.4494453505931357,3.104081650795489,3.4992321083350726,1.0674183697439512,1.0945068664169788,3.5026869335050232,63.18176861226852,20.550179669594765,259.5923675834967,0.8514,0.801,0.01000006548980059
S6_ir_sa_log_space,Bogra,adult,13.446108496009069,0.15512568199202947,21.787339441583264,0.2682,0.1984,0.009783990029626422,3.5123763272319217,3.170809311261257,3.31639335063506,1.7269800386349001,1.8699340245051836,3.315000006898071,3.8282083818182007,0.04892305615512556,6.569588446862367,0.1553,0.1061,0.002951429867048944
S6_ir_sa_log_space,Bogra,child,57.77146160410916,0.7759517163906298,113.84349418564851,0.466,0.3778,0.00439024982578744,3.601219964110178,3.1318629451264037,3.422187121590469,1.4391599752933912,1.5363969093127288,3.423368219731847,16.042191862718905,0.2477604320451232,33.266297294912235,0.3238,0.2459,0.0012824357603376153
