district,population,statistic,primary_value,outer_replicates,param_unc_median,param_unc_q025,param_unc_q975,interval_width_over_primary
Barisal,child,P95_HI,175.12496142356832,1000,160.06541827913134,52.49151559374106,284.2901039940846,1.3236182124814335
Barisal,child,P_HI_gt_1,0.5582,1000,0.57655,0.49129,0.65701,0.2968828376925832
Barisal,child,P_HI_gt_2,0.4953,1000,0.5109,0.421285,0.59715,0.3550676357762971
Barisal,child,P95_ELCR,0.006745823888859346,1000,0.0061616782819932546,0.002022765318724667,0.010956304858831194,1.3243066654704947
Sylhet,adult,mean_HI,1.475141197996738,1000,1.4560762066824386,0.916169406091294,2.176255232718358,0.854213703975103
Sylhet,adult,P50_HI,0.3721815870815316,1000,0.3763098746284238,0.17623137320583074,0.6719120835093624,1.3318249142587106
Sylhet,adult,P95_HI,6.605225154256889,1000,6.515292815459583,4.093252965906269,9.692766309327949,0.8477399653534815
Sylhet,adult,P_HI_gt_1,0.3283,1000,0.3259,0.24008500000000002,0.41624249999999996,0.5365747791653973
Sylhet,adult,P_HI_gt_2,0.2057,1000,0.2023,0.128855,0.2762175,0.7163952357802625
Sylhet,adult,P95_ELCR,0.0029642743121581928,1000,0.002925205662495068,0.0018367622068591006,0.004350514823270186,0.8480161927324813
Sylhet,child,mean_HI,8.206326507091864,1000,8.118672266952101,5.072492580440881,12.038588897385013,0.8488690172056972
Sylhet,child,P50_HI,2.0396904053812133,1000,2.051482038426502,0.9785905527739163,3.626022064860505,1.2979575258588274
Sylhet,child,P95_HI,35.79471212538429,1000,35.18858293135717,22.02360101213306,52.221995820163784,0.8436551941596742
Sylhet,child,P_HI_gt_1,0.5995,1000,0.60135,0.4969525,0.709705,0.35488323603002503
Sylhet,child,P_HI_gt_2,0.5035,1000,0.5044,0.401775,0.603805,0.40125124131082435
Sylhet,child,P95_ELCR,0.0013795314358671918,1000,0.0013561061447438694,0.0008484214212250282,0.002012058418535703,0.8435016173293629
Rangpur,adult,mean_HI,0.36440868465034437,1000,0.35822726255984205,0.19819056392856915,0.5818333163631335,1.052781584507722
